epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,39251.1,0.9282,0.72682,1.30433,0.96497,0.94765,0.97452,0.75383,0.90434,0.43086,1.22009,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,40100.9,0.93023,0.71924,1.30313,0.96418,0.94808,0.97447,0.75927,0.89245,0.42764,1.21127,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,40950.8,0.93011,0.71908,1.30051,0.96769,0.94678,0.97573,0.75971,0.88993,0.42441,1.20838,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,41799.3,0.92225,0.71293,1.29611,0.96608,0.94865,0.97505,0.75842,0.88893,0.42166,1.20674,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,42647.2,0.91872,0.70257,1.2906,0.96549,0.94991,0.97519,0.75933,0.89134,0.42255,1.20808,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,43496,0.91139,0.7018,1.28811,0.96838,0.95063,0.97493,0.75846,0.89263,0.42223,1.20846,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,44344.9,0.91143,0.69501,1.28668,0.96663,0.95058,0.97491,0.75935,0.89007,0.41932,1.20568,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,45193.2,0.90208,0.68785,1.27397,0.96723,0.95276,0.97546,0.75917,0.89188,0.41788,1.20602,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,46041.8,0.89696,0.68307,1.2695,0.96532,0.95273,0.97634,0.76042,0.89028,0.41597,1.20381,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,46890.8,0.89546,0.67797,1.27024,0.95979,0.95829,0.97674,0.76159,0.88845,0.41456,1.20211,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,47739.7,0.89085,0.67694,1.27046,0.95926,0.95772,0.97662,0.7627,0.88656,0.41193,1.20051,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,48588.3,0.88227,0.66437,1.26173,0.96007,0.95794,0.97675,0.76257,0.8856,0.41026,1.19959,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,49436.2,0.88513,0.66221,1.25761,0.96178,0.95729,0.97695,0.76544,0.88295,0.40915,1.19693,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,50284.5,0.87635,0.65948,1.25485,0.96433,0.95657,0.97725,0.76673,0.88249,0.40843,1.19638,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,51132.6,0.87733,0.65146,1.25673,0.9645,0.95728,0.97746,0.76676,0.88113,0.40815,1.19552,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,51981.5,0.87035,0.64802,1.25459,0.96398,0.95794,0.97757,0.76712,0.87905,0.40675,1.19394,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,52830.1,0.8702,0.64875,1.25409,0.96519,0.9576,0.97772,0.76799,0.87677,0.4056,1.19234,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,53679.4,0.86449,0.64092,1.24819,0.96618,0.95679,0.97769,0.7693,0.87459,0.40416,1.19072,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,54528.4,0.86551,0.63443,1.24821,0.96822,0.95674,0.97781,0.76971,0.87137,0.4032,1.18825,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,55377.2,0.86023,0.63108,1.24294,0.96881,0.95679,0.97798,0.77057,0.86899,0.40137,1.1867,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,56225.2,0.8599,0.62928,1.2388,0.96972,0.95679,0.97824,0.77197,0.86718,0.40029,1.18488,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,57074.4,0.85577,0.62503,1.23793,0.97064,0.95652,0.97836,0.77323,0.86387,0.39866,1.18241,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,57923.8,0.84641,0.62035,1.23674,0.97253,0.95624,0.97868,0.77367,0.86191,0.39715,1.18108,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,58773.2,0.84571,0.61671,1.23075,0.97193,0.95627,0.97882,0.77474,0.85996,0.39669,1.17946,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,59622.3,0.84723,0.6206,1.23259,0.97029,0.95633,0.97892,0.77547,0.85796,0.39585,1.17767,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,60471.6,0.83915,0.61607,1.22789,0.97094,0.9566,0.97891,0.77691,0.85529,0.39487,1.17608,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,61320.6,0.83543,0.60167,1.21989,0.97136,0.95661,0.97897,0.77706,0.85319,0.39334,1.17425,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
